epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3239,0.77141,2.45146,1.18285,0.63106,0.56738,0.62175,0.48518,0.73565,1.68307,1.17555,0.000255734,0.000255734,0.000255734
2,159.075,0.78637,1.73929,1.16722,0.75056,0.64735,0.75348,0.58532,0.76191,1.26973,1.18558,0.000501929,0.000501929,0.000501929
3,237.1,0.82164,1.57119,1.18084,0.71873,0.5926,0.68512,0.52765,0.80814,1.38012,1.2303,0.000737972,0.000737972,0.000737972
4,314.346,0.81836,1.4368,1.17224,0.73608,0.65157,0.76385,0.60912,0.72395,1.16699,1.15188,0.000723321,0.000723321,0.000723321
5,392.062,0.77223,1.27411,1.15122,0.79456,0.75287,0.83185,0.67853,0.69693,0.96083,1.11845,0.000708095,0.000708095,0.000708095
6,469.661,0.75272,1.18196,1.13231,0.81592,0.74704,0.83947,0.68358,0.6833,0.92304,1.10667,0.000692869,0.000692869,0.000692869
7,547.075,0.73267,1.12694,1.12329,0.8358,0.76046,0.86213,0.70976,0.66982,0.84729,1.0994,0.000677643,0.000677643,0.000677643
8,623.913,0.71892,1.05674,1.11138,0.83553,0.75634,0.85291,0.71161,0.6385,0.84292,1.07981,0.000662417,0.000662417,0.000662417
9,700.592,0.69666,1.00991,1.1011,0.84451,0.77028,0.88184,0.74555,0.6078,0.78627,1.05579,0.00064719,0.00064719,0.00064719
10,777.264,0.68942,0.97676,1.09703,0.86826,0.81208,0.89008,0.74756,0.62347,0.71939,1.06454,0.000631964,0.000631964,0.000631964
11,854.222,0.67756,0.93484,1.08694,0.86045,0.79516,0.88839,0.74825,0.61408,0.71977,1.0544,0.000616738,0.000616738,0.000616738
12,931.175,0.66269,0.90666,1.07957,0.88889,0.82293,0.90987,0.78623,0.56908,0.62832,1.02736,0.000601512,0.000601512,0.000601512
13,1008.4,0.65772,0.884,1.07538,0.87474,0.80769,0.89822,0.77005,0.58265,0.66323,1.03406,0.000586286,0.000586286,0.000586286
14,1085.22,0.64799,0.85603,1.07153,0.85478,0.80558,0.89305,0.76583,0.56901,0.6893,1.02775,0.000571059,0.000571059,0.000571059
15,1162.63,0.64078,0.84451,1.06549,0.87761,0.82487,0.90584,0.77375,0.57913,0.65387,1.03434,0.000555833,0.000555833,0.000555833
16,1239.86,0.62883,0.82466,1.05759,0.88527,0.8324,0.9143,0.79138,0.55905,0.61398,1.0048,0.000540607,0.000540607,0.000540607
17,1317.24,0.6141,0.78771,1.05397,0.90278,0.83242,0.91734,0.79208,0.55186,0.61324,1.01101,0.000525381,0.000525381,0.000525381
18,1394.33,0.6152,0.75981,1.04877,0.88431,0.82365,0.91283,0.79066,0.54279,0.60658,1.00477,0.000510155,0.000510155,0.000510155
19,1471.74,0.60211,0.75894,1.04175,0.89313,0.82851,0.91759,0.79563,0.53896,0.58586,1.00507,0.000494928,0.000494928,0.000494928
20,1548.52,0.59966,0.73812,1.04116,0.87105,0.84354,0.91638,0.79901,0.52579,0.60579,0.98918,0.000479702,0.000479702,0.000479702
21,1625.4,0.59676,0.71721,1.03905,0.91009,0.84168,0.9294,0.81406,0.5293,0.55005,0.99246,0.000464476,0.000464476,0.000464476
22,1702.2,0.58281,0.70003,1.02904,0.90984,0.84106,0.92999,0.80876,0.52802,0.54089,0.99578,0.00044925,0.00044925,0.00044925
23,1778.85,0.58516,0.69958,1.03329,0.91256,0.84595,0.93148,0.81805,0.51186,0.53701,0.9856,0.000434024,0.000434024,0.000434024
24,1855.87,0.5705,0.6756,1.02559,0.90821,0.85488,0.93235,0.8208,0.51732,0.52031,0.98284,0.000418797,0.000418797,0.000418797
25,1932.74,0.56955,0.6607,1.02501,0.90678,0.85923,0.93496,0.82027,0.51605,0.51715,0.98601,0.000403571,0.000403571,0.000403571
26,2009.82,0.56136,0.6454,1.01935,0.91534,0.85705,0.93807,0.82336,0.5129,0.50654,0.98384,0.000388345,0.000388345,0.000388345
27,2086.96,0.5557,0.62696,1.0109,0.91445,0.86658,0.93961,0.82596,0.50444,0.5005,0.97576,0.000373119,0.000373119,0.000373119
28,2163.96,0.55364,0.62112,1.01544,0.91626,0.86892,0.93894,0.82388,0.50643,0.5055,0.97651,0.000357893,0.000357893,0.000357893
29,2240.97,0.54936,0.61484,1.01272,0.92727,0.86364,0.94542,0.84078,0.49213,0.47282,0.96019,0.000342666,0.000342666,0.000342666
30,2317.55,0.5549,0.60203,1.01477,0.93708,0.87567,0.94784,0.83924,0.48776,0.46668,0.95813,0.00032744,0.00032744,0.00032744
31,2394.63,0.53316,0.58482,0.99906,0.92352,0.88091,0.94507,0.84105,0.48508,0.45713,0.95619,0.000312214,0.000312214,0.000312214
32,2472.38,0.53394,0.57952,1.00508,0.92718,0.87154,0.9477,0.8451,0.47964,0.46364,0.955,0.000296988,0.000296988,0.000296988
33,2549.93,0.52736,0.5678,0.99792,0.91364,0.88622,0.94569,0.8395,0.48869,0.4671,0.95914,0.000281762,0.000281762,0.000281762
34,2626.96,0.53053,0.56021,1.00302,0.92879,0.86729,0.94613,0.8438,0.48093,0.4651,0.95859,0.000266535,0.000266535,0.000266535
35,2704.25,0.51803,0.54949,0.99888,0.92068,0.88198,0.95218,0.85092,0.47629,0.44623,0.95155,0.000251309,0.000251309,0.000251309
